"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa.mir.651",2.1557406139409,1.48098778289174,5.12529908859575,4.35296777488158e-07,9.77196847422396e-07,5.80568608737237
"hsa.mir.3614",-2.26110641944521,1.64524233731651,-5.12766445586274,4.30152287402962e-07,9.70600033114377e-07,5.76217101170473
"hsa.mir.181b.2",-1.57745399316087,6.34856771522132,-5.11022545080716,4.69507301665673e-07,1.04864574991318e-06,5.48731692281306
"hsa.mir.7.2",2.58930196585508,1.67687751141736,5.03118192955471,6.96020624629482e-07,1.53894007455765e-06,5.35677062073859
"hsa.mir.6715b",-2.44542169438688,-0.112674595179368,-5.02925157731165,7.0270002953254e-07,1.54594006497159e-06,5.34683130141094
"hsa.mir.1.2",3.7721871455995,3.62657124629902,5.00201302985039,8.03818493588395e-07,1.75089176821235e-06,5.21791196701153
"hsa.mir.186",1.01907542972484,8.06159558946623,5.03630341198082,6.78595328980847e-07,1.50798961995744e-06,5.15685991473982
"hsa.mir.552",4.53834028330403,6.83947362891675,4.97035620162042,9.39043195430891e-07,2.02538728426271e-06,5.0661229580827
"hsa.mir.30d",-1.07818903749293,12.2179571419728,-5.01214137043749,7.64676703054722e-07,1.67391915096556e-06,4.92599373612618
"hsa.mir.218.2",2.45935105118291,2.67162351105219,4.93510800874619,1.11546020883846e-06,2.39415849701913e-06,4.905662973774
"hsa.mir.320a",-1.88809114807847,8.45182659505351,-4.99601492602226,8.27904026824206e-07,1.79447178227907e-06,4.88645284890072
"hsa.mir.185",1.28766663425436,5.69554359265697,4.89304310017228,1.36805056047787e-06,2.92204974082651e-06,4.61872598324862
"hsa.mir.219a.1",-1.6635963650674,1.83275832901022,-4.85523014613641,1.64153371770435e-06,3.48925041444403e-06,4.50337589211042
"hsa.mir.1287",-1.15859322794696,4.04112923005551,-4.83880041521186,1.77615124864952e-06,3.75724302598936e-06,4.32047903817634
"hsa.mir.4662a",2.69625586149248,2.73347749885842,4.77493544349713,2.40778778077122e-06,5.06902690688679e-06,4.17207873200359
